sessionId,label,timestamp,accX,accY,accZ,rotX,rotY,rotZ
session_20260414_152219_048,uppercut,23443.4106,-0.047319,0.039382,0.041973,0.019202,0.261038,0.135478
session_20260414_152219_048,uppercut,23443.4305,-0.068476,0.055397,0.048340,0.065277,0.104327,0.039409
session_20260414_152219_048,uppercut,23443.4503,-0.058122,0.055401,0.051319,0.084448,0.049476,0.055535
session_20260414_152219_048,uppercut,23443.4702,-0.067430,0.027584,0.062528,-0.001555,0.050822,-0.038571
session_20260414_152219_048,uppercut,23443.4901,-0.075421,0.022480,0.069697,-0.111375,0.050411,-0.100554
session_20260414_152219_048,uppercut,23443.5100,-0.088282,0.049051,0.061790,-0.156717,0.023045,-0.152867
session_20260414_152219_048,uppercut,23443.5299,-0.113703,0.062968,0.026840,-0.114268,0.014972,-0.181046
session_20260414_152219_048,uppercut,23443.5498,-0.146869,0.047015,0.009842,-0.063483,0.008369,-0.210652
session_20260414_152219_048,uppercut,23443.5697,-0.179528,0.007263,0.001122,-0.018411,0.021703,-0.292033
session_20260414_152219_048,uppercut,23443.5896,-0.199464,-0.044204,-0.004548,-0.028383,0.044149,-0.432207
session_20260414_152219_048,uppercut,23443.6095,-0.219288,-0.076464,0.026744,-0.171198,0.073626,-0.585853
session_20260414_152219_048,uppercut,23443.6294,-0.227040,-0.127235,0.061464,-0.379129,0.107851,-0.819896
session_20260414_152219_048,uppercut,23443.6493,-0.245332,-0.159775,0.098791,-0.658491,0.106508,-1.100488
session_20260414_152219_048,uppercut,23443.6692,-0.310025,-0.176438,0.110470,-0.911002,0.175227,-1.357620
session_20260414_152219_048,uppercut,23443.6891,-0.404198,-0.166796,0.051405,-0.976712,0.322600,-1.583177
session_20260414_152219_048,uppercut,23443.7090,-0.467690,-0.159225,0.035525,-0.958060,0.420670,-1.761338
